id,composer,composition,movement,ensemble,source,transcriber,catalog_name,seconds
1733,Schubert,Piano Sonata in A major,2. Andantino,Solo Piano,Museopen,Segundo G. Yogore,D959,546
1734,Schubert,Piano Sonata in A major,3. Scherzo. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D959,325
1735,Schubert,Piano Sonata in A major,4. Rondo. Allegretto,Solo Piano,Museopen,Segundo G. Yogore,D959,714
1749,Schubert,Piano Sonata in A minor,1. Moderato,Solo Piano,Museopen,Segundo G. Yogore,D845,696
1750,Schubert,Piano Sonata in A minor,2. Andante poco mosso,Solo Piano,Museopen,Segundo G. Yogore,D845,784
1751,Schubert,Piano Sonata in A minor,3. Scherzo. Allegro vivace - Trio. Un poco piu lento,Solo Piano,Museopen,Segundo G. Yogore,D845,475
1752,Schubert,Piano Sonata in A minor,4. Rondo. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D845,362
1755,Schubert,Piano Sonata in A minor,2. Andante,Solo Piano,Museopen,Segundo G. Yogore,D784,229
1756,Schubert,Piano Sonata in A minor,3. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D784,371
1757,Schubert,Piano Sonata in C minor,1. Allegro,Solo Piano,Museopen,Martin Charles Bucknall,D958,710
1758,Schubert,Piano Sonata in C minor,2. Adagio,Solo Piano,Museopen,Martin Charles Bucknall,D958,468
1759,Schubert,Piano Sonata in C minor,3. Menuetto and Trio,Solo Piano,Museopen,Martin Charles Bucknall,D958,194
1760,Schubert,Piano Sonata in C minor,4. Allegro,Solo Piano,Museopen,Martin Charles Bucknall,D958,655
1763,Schubert,4 Impromptus,1. Impromptu in F minor,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,600
1764,Schubert,4 Impromptus,2. Impromptu in A-flat major,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,438
1765,Schubert,4 Impromptus,3. Impromptu in B-flat major,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,676
1766,Schubert,4 Impromptus,4. Impromptu in F minor,Solo Piano,Charlie Albright,Jeruen Espino Dery,OP142,427
1768,Schubert,Piano Sonata in A major,2. Andante,Solo Piano,Museopen,Segundo G. Yogore,D664,290
1771,Schubert,Piano Sonata in D-flat major,1. Allegro moderato,Solo Piano,Museopen,Segundo G. Yogore,D568,647
1772,Schubert,Piano Sonata in D-flat major,2. Andante molto,Solo Piano,Museopen,Segundo G. Yogore,D568,417
1773,Schubert,Piano Sonata in D-flat major,3. Menuetto. Allegretto,Solo Piano,Museopen,Segundo G. Yogore,D568,307
1775,Schubert,Piano Sonata in D major,1. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D850,578
1776,Schubert,Piano Sonata in D major,2. Con moto,Solo Piano,Museopen,Segundo G. Yogore,D850,726
1777,Schubert,Piano Sonata in D major,3. Scherzo. Allegro vivace,Solo Piano,Museopen,Segundo G. Yogore,D850,629
2195,Bach,"WTK I, No 3: Prelude and Fugue in C-sharp major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV848,155
2196,Bach,"WTK I, No 3: Prelude and Fugue in C-sharp major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV848,75
2198,Bach,"WTK I, No 22: Prelude and Fugue in B-flat minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV867,197
2200,Bach,"WTK I, No 16: Prelude and Fugue in G minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV861,113
2201,Bach,"WTK I, No 16: Prelude and Fugue in G minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV861,134
2207,Bach,"WTK I, No 10: Prelude and Fugue in E minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV855,89
2208,Bach,"WTK I, No 10: Prelude and Fugue in E minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV855,120
2209,Bach,"WTK I, No 4: Prelude and Fugue in C-sharp minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV849,160
2210,Bach,"WTK I, No 4: Prelude and Fugue in C-sharp minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV849,178
2212,Bach,"WTK I, No 12: Prelude and Fugue in F minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV857,173
2213,Bach,"WTK I, No 2: Prelude and Fugue in C minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV847,115
2214,Bach,"WTK I, No 2: Prelude and Fugue in C minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV847,107
2215,Bach,"WTK I, No 1: Prelude and Fugue in C major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV846,116
2224,Bach,"WTK I, No 7: Prelude and Fugue in E-flat major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV852,108
2225,Bach,"WTK I, No 7: Prelude and Fugue in E-flat major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV852,213
2228,Bach,"WTK I, No 6: Prelude and Fugue in D minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV851,98
2229,Bach,"WTK I, No 20: Prelude and Fugue in A minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV865,244
2231,Bach,"WTK I, No 21: Prelude and Fugue in B-flat major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV866,115
2232,Bach,"WTK I, No 21: Prelude and Fugue in B-flat major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV866,78
2234,Bach,"WTK I, No 11: Prelude and Fugue in F major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV856,64
2237,Bach,"WTK I, No 23: Prelude and Fugue in B major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV868,109
2238,Bach,"WTK I, No 23: Prelude and Fugue in B major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV868,60
2239,Bach,"WTK I, No 17: Prelude and Fugue in A-flat major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV862,120
2240,Bach,"WTK I, No 17: Prelude and Fugue in A-flat major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV862,92
2247,Bach,"WTK I, No 9: Prelude and Fugue in E major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV854,81
2248,Bach,"WTK I, No 9: Prelude and Fugue in E major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV854,104
2300,Bach,"WTK I, No 8: Prelude and Fugue in E-flat minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV853,238
2302,Bach,"WTK I, No 5: Prelude and Fugue in D major",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV850,108
2303,Bach,"WTK I, No 5: Prelude and Fugue in D major",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV850,92
2304,Bach,"WTK I, No 14: Prelude and Fugue in F-sharp minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV859,196
2307,Bach,"WTK I, No 18: Prelude and Fugue in G-sharp minor",2. Fugue,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV863,137
2308,Bach,"WTK I, No 18: Prelude and Fugue in G-sharp minor",1. Prelude,Solo Piano,Kimiko Ishizaka,www.bachcentral.com,BWV863,121
2322,Beethoven,Piano Sonata No 23 in F minor,1. Allegro assai,Solo Piano,Paul Pitman,piano-midi.de,OP57,645
2325,Beethoven,Piano Sonata No 23 in F minor,1. Allegro assai,Solo Piano,European Archive,piano-midi.de,OP57,551
2343,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Stefano Ligoratti,piano-midi.de,OP27NO2,332
2345,Beethoven,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,Solo Piano,Stefano Ligoratti,piano-midi.de,OP27NO2,443
2346,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Paul Pitman,piano-midi.de,OP27NO2,335
2348,Beethoven,Piano Sonata No 14 in C-sharp minor,3. Presto agitato,Solo Piano,Paul Pitman,piano-midi.de,OP27NO2,493
2350,Beethoven,Piano Sonata No 14 in C-sharp minor,1. Adagio sostenuto,Solo Piano,Glen W. Prillaman,piano-midi.de,OP27NO2,276
2357,Beethoven,Piano Sonata No 15 in D major,2. Andante,Solo Piano,Paul Pitman,piano-midi.de,OP28,357
2358,Beethoven,Piano Sonata No 15 in D major,3. Scherzo: Allegro vivace,Solo Piano,Paul Pitman,piano-midi.de,OP28,137
2359,Beethoven,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,Solo Piano,Paul Pitman,piano-midi.de,OP28,304
2364,Beethoven,Piano Sonata No 15 in D major,4. Rondo: Allegro ma non troppo,Solo Piano,Karine Gilanyan,piano-midi.de,OP28,296
2371,Beethoven,Piano Sonata No 9 in E major,2. Allegretto,Solo Piano,Paul Pitman,piano-midi.de,OP14NO1,205
2372,Beethoven,Piano Sonata No 9 in E major,3. Rondo - Allegro comodo,Solo Piano,Paul Pitman,piano-midi.de,OP14NO1,228
2373,Beethoven,Piano Sonata No 19 in G minor,1. Andante,Solo Piano,Paul Pitman,piano-midi.de,OP49NO1,318
2374,Beethoven,Piano Sonata No 19 in G minor,2. Rondo: Allegro,Solo Piano,Paul Pitman,piano-midi.de,OP49NO1,216
2388,Beethoven,Piano Sonata No 17 in D minor,1. Largo - Allegro,Solo Piano,Paul Pitman,piano-midi.de,OP31NO2,473
2389,Beethoven,Piano Sonata No 17 in D minor,2. Adagio,Solo Piano,Paul Pitman,piano-midi.de,OP31NO2,449
2390,Beethoven,Piano Sonata No 17 in D minor,3. Allegretto,Solo Piano,Paul Pitman,piano-midi.de,OP31NO2,392
2391,Beethoven,Piano Sonata No 17 in D minor,1. Largo - Allegro,Solo Piano,Stefano Ligoratti,piano-midi.de,OP31NO2,473
2392,Beethoven,Piano Sonata No 17 in D minor,2. Adagio,Solo Piano,Stefano Ligoratti,piano-midi.de,OP31NO2,437
2393,Beethoven,Piano Sonata No 17 in D minor,3. Allegretto,Solo Piano,Stefano Ligoratti,piano-midi.de,OP31NO2,383
2404,Beethoven,Piano Sonata No 20 in A-flat major,1. Moderato cantabile molto espressivo,Solo Piano,Paul Pitman,piano-midi.de,OP110,399
2405,Beethoven,Piano Sonata No 20 in A-flat major,2. Allegro molto,Solo Piano,Paul Pitman,piano-midi.de,OP110,137
2406,Beethoven,Piano Sonata No 20 in A-flat major,3. Adagio ma non troppo,Solo Piano,Paul Pitman,piano-midi.de,OP110,612
